Titres;*chaine_BarbareCivilise;*chaine_FDENEWS;*chaine_JulienRochedy;*chaine_codeReinho;*chaine_LeRaptor;*chaine_ThaisdEscufon;*chaine_VAplus;*chaine_LAssimile;*chaine_Valek;*chaine_Psyhodelik;*chaine_BrunoleSale;*chaine_ElRayhan;*chaine_BENCHCIGARS;*chaine_Ring
id_doc;2;1;3;1;2;3;3;2;2;2;2;1;2;2
barbarecivilise;2;0;0;0;0;0;0;0;0;0;0;0;0;0
nature_video;2;1;3;1;2;3;3;2;2;2;2;1;2;2
arrive;1;0;0;1;7;2;0;1;3;1;3;1;2;1
souvent;1;0;2;3;1;8;3;0;3;6;1;1;0;1
recevoir;2;0;0;0;0;1;0;0;0;0;0;0;0;0
messages;1;0;0;0;0;0;2;0;0;1;1;0;0;0
dit;2;2;5;11;16;8;5;2;7;8;3;1;8;19
lis;1;0;0;0;0;1;0;0;0;0;0;0;0;0
livres;6;0;0;0;2;3;0;0;0;1;0;0;0;0
oublie;1;0;0;1;0;0;1;2;1;0;0;0;0;1
peut;13;6;18;6;18;13;7;8;26;13;17;2;10;8
être;19;7;20;8;22;16;13;10;17;17;12;8;8;20
seulement;3;1;4;2;2;1;0;3;2;0;0;0;0;1
relecture;3;0;0;0;0;0;0;0;0;0;0;0;0;0
compte;1;1;2;4;4;3;0;3;2;0;1;2;6;2
richesse;1;0;0;0;0;0;0;1;0;0;1;0;0;0
passages;2;0;0;0;0;1;0;0;0;0;0;0;0;0
loupé;2;0;0;0;0;1;0;0;0;0;0;0;0;0
ailleurs;2;2;8;6;5;14;3;8;7;2;9;2;0;3
simplement;3;0;0;1;3;6;1;5;7;0;2;0;2;0
ça;52;21;14;39;103;35;21;18;24;39;36;45;106;119
comprends;1;0;0;2;3;0;0;0;1;3;1;0;0;1
puisse;1;0;0;1;0;1;0;0;0;0;1;2;0;1
normal;2;2;0;3;2;2;0;0;0;0;1;5;0;0
fait;29;5;20;30;80;29;23;13;18;32;25;50;51;87
quelques;4;1;2;5;8;2;2;2;3;1;0;1;4;0
années;5;4;1;7;1;4;2;1;1;1;2;1;0;1
maintenant;3;0;3;2;0;0;3;1;7;0;5;3;3;2
